Alignment,Alive,Sex,Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Good Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Deceased Characters,Female Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,No Dual Identity
Neutral Characters,Deceased Characters,Female Characters,No Dual Identity
Neutral Characters,Living Characters,Male Characters,No Dual Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Neutral Characters,Deceased Characters,Female Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Public Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Neutral Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Female Characters,Public Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Female Characters,Public Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,No Dual Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Female Characters,Public Identity
Neutral Characters,Living Characters,Female Characters,No Dual Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Neutral Characters,Deceased Characters,Male Characters,Secret Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Public Identity
Good Characters,Living Characters,Female Characters,Public Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Neutral Characters,Deceased Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Deceased Characters,Female Characters,No Dual Identity
Neutral Characters,Deceased Characters,Female Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Good Characters,Deceased Characters,Female Characters,Public Identity
Neutral Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Female Characters,Public Identity
Neutral Characters,Deceased Characters,Female Characters,Public Identity
Good Characters,Deceased Characters,Male Characters,No Dual Identity
Neutral Characters,Deceased Characters,Female Characters,No Dual Identity
Bad Characters,Deceased Characters,Female Characters,Public Identity
Bad Characters,Living Characters,Female Characters,Secret Identity
Bad Characters,Living Characters,Female Characters,Public Identity
Bad Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Deceased Characters,Male Characters,Public Identity
Bad Characters,Deceased Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,No Dual Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,No Dual Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Bad Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Female Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Public Identity
Good Characters,Deceased Characters,Female Characters,Public Identity
Good Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,Public Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Female Characters,Public Identity
Neutral Characters,Deceased Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Female Characters,Public Identity
Good Characters,Deceased Characters,Male Characters,Public Identity
Neutral Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Public Identity
Good Characters,Living Characters,Male Characters,Public Identity
Good Characters,Deceased Characters,Male Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,No Dual Identity
Bad Characters,Deceased Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Male Characters,Public Identity
Bad Characters,Living Characters,Female Characters,Secret Identity
Bad Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Deceased Characters,Male Characters,Public Identity
Good Characters,Deceased Characters,Male Characters,Secret Identity
Bad Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Deceased Characters,Female Characters,Public Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,No Dual Identity
Good Characters,Deceased Characters,Male Characters,No Dual Identity
Good Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,Secret Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Male Characters,Public Identity
Neutral Characters,Living Characters,Female Characters,Secret Identity
Good Characters,Living Characters,Female Characters,Secret Identity
Neutral Characters,Living Characters,Male Characters,Public Identity
Neutral Characters,Living Characters,Male Characters,Public Identity
